"Date Printed: Thursday, June 1, 2023 9:45:59 PM",,,,,,,,,,
"Title: ""HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | United States | All races/ethnicities | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other""""",,,,,,,,,,
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV prevalence,2013,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"22,824",Data not available,NA
HIV prevalence,2012,United States,NA,55+,All races/ethnicities,Male,Other,691,Data not available,NA
HIV prevalence,2012,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"20,645",Data not available,NA
HIV prevalence,2012,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"12,209",Data not available,NA
HIV prevalence,2012,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"30,872",Data not available,NA
HIV prevalence,2012,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"92,717",Data not available,NA
HIV prevalence,2012,United States,NA,45-54,All races/ethnicities,Male,Other,847,Data not available,NA
HIV prevalence,2012,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"25,371",Data not available,NA
HIV prevalence,2012,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"23,328",Data not available,NA
HIV prevalence,2012,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"28,482",Data not available,NA
HIV prevalence,2012,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"156,448",Data not available,NA
HIV prevalence,2012,United States,NA,35-44,All races/ethnicities,Male,Other,612,Data not available,NA
HIV prevalence,2012,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"15,827",Data not available,NA
HIV prevalence,2012,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"13,126",Data not available,NA
HIV prevalence,2012,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"10,031",Data not available,NA
HIV prevalence,2012,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"104,368",Data not available,NA
HIV prevalence,2012,United States,NA,25-34,All races/ethnicities,Male,Other,"1,069",Data not available,NA
HIV prevalence,2012,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"6,183",Data not available,NA
HIV prevalence,2012,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"7,021",Data not available,NA
HIV prevalence,2012,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"2,934",Data not available,NA
HIV prevalence,2012,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"75,050",Data not available,NA
HIV prevalence,2012,United States,NA,13-24,All races/ethnicities,Male,Other,"3,871",Data not available,NA
HIV prevalence,2012,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,880,Data not available,NA
HIV prevalence,2012,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,251",Data not available,NA
HIV prevalence,2012,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,262,Data not available,NA
HIV prevalence,2012,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"22,659",Data not available,NA
HIV prevalence,2011,United States,NA,55+,All races/ethnicities,Male,Other,660,Data not available,NA
HIV prevalence,2011,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"18,598",Data not available,NA
HIV prevalence,2011,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"10,752",Data not available,NA
HIV prevalence,2011,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"28,473",Data not available,NA
HIV prevalence,2011,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"82,158",Data not available,NA
HIV prevalence,2011,United States,NA,45-54,All races/ethnicities,Male,Other,833,Data not available,NA
HIV prevalence,2011,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"24,864",Data not available,NA
HIV prevalence,2011,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"23,250",Data not available,NA
HIV prevalence,2011,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"30,447",Data not available,NA
HIV prevalence,2011,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"151,244",Data not available,NA
HIV prevalence,2011,United States,NA,35-44,All races/ethnicities,Male,Other,645,Data not available,NA
HIV prevalence,2011,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"16,368",Data not available,NA
HIV prevalence,2011,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"14,193",Data not available,NA
HIV prevalence,2011,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"11,251",Data not available,NA
HIV prevalence,2011,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"107,122",Data not available,NA
HIV prevalence,2011,United States,NA,25-34,All races/ethnicities,Male,Other,914,Data not available,NA
HIV prevalence,2011,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"6,395",Data not available,NA
HIV prevalence,2011,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"7,010",Data not available,NA
HIV prevalence,2011,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"3,143",Data not available,NA
HIV prevalence,2011,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"69,635",Data not available,NA
HIV prevalence,2011,United States,NA,13-24,All races/ethnicities,Male,Other,"3,920",Data not available,NA
HIV prevalence,2011,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,881,Data not available,NA
HIV prevalence,2011,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,298",Data not available,NA
HIV prevalence,2011,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,281,Data not available,NA
HIV prevalence,2011,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"21,423",Data not available,NA
HIV prevalence,2010,United States,NA,55+,All races/ethnicities,Male,Other,629,Data not available,NA
HIV prevalence,2010,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"16,652",Data not available,NA
HIV prevalence,2010,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"9,413",Data not available,NA
HIV prevalence,2010,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"26,075",Data not available,NA
HIV prevalence,2010,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"72,532",Data not available,NA
HIV prevalence,2010,United States,NA,45-54,All races/ethnicities,Male,Other,822,Data not available,NA
HIV prevalence,2010,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"24,022",Data not available,NA
HIV prevalence,2010,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"23,010",Data not available,NA
HIV prevalence,2010,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"32,083",Data not available,NA
HIV prevalence,2010,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"144,160",Data not available,NA
HIV prevalence,2010,United States,NA,35-44,All races/ethnicities,Male,Other,682,Data not available,NA
HIV prevalence,2010,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"16,967",Data not available,NA
HIV prevalence,2010,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"15,423",Data not available,NA
HIV prevalence,2010,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"12,720",Data not available,NA
HIV prevalence,2010,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"111,303",Data not available,NA
HIV prevalence,2010,United States,NA,25-34,All races/ethnicities,Male,Other,825,Data not available,NA
HIV prevalence,2010,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"6,521",Data not available,NA
HIV prevalence,2010,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,912",Data not available,NA
HIV prevalence,2010,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"3,366",Data not available,NA
HIV prevalence,2010,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"64,321",Data not available,NA
HIV prevalence,2010,United States,NA,13-24,All races/ethnicities,Male,Other,"3,871",Data not available,NA
HIV prevalence,2010,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,911,Data not available,NA
HIV prevalence,2010,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,313",Data not available,NA
HIV prevalence,2010,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,311,Data not available,NA
HIV prevalence,2010,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"20,064",Data not available,NA
HIV prevalence,2009,United States,NA,55+,All races/ethnicities,Male,Other,598,Data not available,NA
HIV prevalence,2009,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"14,882",Data not available,NA
HIV prevalence,2009,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"8,190",Data not available,NA
HIV prevalence,2009,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"23,637",Data not available,NA
HIV prevalence,2009,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"64,024",Data not available,NA
HIV prevalence,2009,United States,NA,45-54,All races/ethnicities,Male,Other,800,Data not available,NA
HIV prevalence,2009,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"22,862",Data not available,NA
HIV prevalence,2009,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"22,268",Data not available,NA
HIV prevalence,2009,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"33,322",Data not available,NA
HIV prevalence,2009,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"134,842",Data not available,NA
HIV prevalence,2009,United States,NA,35-44,All races/ethnicities,Male,Other,723,Data not available,NA
HIV prevalence,2009,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"17,476",Data not available,NA
HIV prevalence,2009,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"16,758",Data not available,NA
HIV prevalence,2009,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"14,195",Data not available,NA
HIV prevalence,2009,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"116,181",Data not available,NA
HIV prevalence,2009,United States,NA,25-34,All races/ethnicities,Male,Other,737,Data not available,NA
HIV prevalence,2009,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"6,519",Data not available,NA
HIV prevalence,2009,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,939",Data not available,NA
HIV prevalence,2009,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"3,512",Data not available,NA
HIV prevalence,2009,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"59,331",Data not available,NA
HIV prevalence,2009,United States,NA,13-24,All races/ethnicities,Male,Other,"3,749",Data not available,NA
HIV prevalence,2009,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,936,Data not available,NA
HIV prevalence,2009,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,263",Data not available,NA
HIV prevalence,2009,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,336,Data not available,NA
HIV prevalence,2009,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"18,109",Data not available,NA
HIV prevalence,2008,United States,NA,55+,All races/ethnicities,Male,Other,560,Data not available,NA
HIV prevalence,2008,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"13,198",Data not available,NA
HIV prevalence,2008,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"7,124",Data not available,NA
HIV prevalence,2008,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"21,303",Data not available,NA
HIV prevalence,2008,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"56,162",Data not available,NA
HIV prevalence,2008,United States,NA,45-54,All races/ethnicities,Male,Other,777,Data not available,NA
HIV prevalence,2008,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"21,365",Data not available,NA
HIV prevalence,2008,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"21,261",Data not available,NA
HIV prevalence,2008,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"34,428",Data not available,NA
HIV prevalence,2008,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"124,247",Data not available,NA
HIV prevalence,2008,United States,NA,35-44,All races/ethnicities,Male,Other,791,Data not available,NA
HIV prevalence,2008,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,"18,148",Data not available,NA
HIV prevalence,2008,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"18,386",Data not available,NA
HIV prevalence,2008,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,"16,120",Data not available,NA
HIV prevalence,2008,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"121,594",Data not available,NA
HIV prevalence,2008,United States,NA,25-34,All races/ethnicities,Male,Other,679,Data not available,NA
HIV prevalence,2008,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,"6,505",Data not available,NA
HIV prevalence,2008,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"6,925",Data not available,NA
HIV prevalence,2008,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,"3,763",Data not available,NA
HIV prevalence,2008,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"55,276",Data not available,NA
HIV prevalence,2008,United States,NA,13-24,All races/ethnicities,Male,Other,"3,603",Data not available,NA
HIV prevalence,2008,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,935,Data not available,NA
HIV prevalence,2008,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,"1,234",Data not available,NA
HIV prevalence,2008,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,363,Data not available,NA
HIV prevalence,2008,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"15,951",Data not available,NA
HIV deaths,2021,United States,NA,55+,All races/ethnicities,Male,Other,39,Data not available,NA
HIV deaths,2021,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"1,482",Data not available,NA
HIV deaths,2021,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,991,Data not available,NA
HIV deaths,2021,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,765",Data not available,NA
HIV deaths,2021,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"5,031",Data not available,NA
HIV deaths,2021,United States,NA,45-54,All races/ethnicities,Male,Other,11,Data not available,NA
HIV deaths,2021,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,366,Data not available,NA
HIV deaths,2021,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,355,Data not available,NA
HIV deaths,2021,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,349,Data not available,NA
HIV deaths,2021,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"1,615",Data not available,NA
HIV deaths,2021,United States,NA,35-44,All races/ethnicities,Male,Other,15,Data not available,NA
HIV deaths,2021,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,159,Data not available,NA
HIV deaths,2021,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,224,Data not available,NA
HIV deaths,2021,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,157,Data not available,NA
HIV deaths,2021,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"1,125",Data not available,NA
HIV deaths,2021,United States,NA,25-34,All races/ethnicities,Male,Other,44,Data not available,NA
HIV deaths,2021,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,62,Data not available,NA
HIV deaths,2021,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,111,Data not available,NA
HIV deaths,2021,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,59,Data not available,NA
HIV deaths,2021,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,836,Data not available,NA
HIV deaths,2021,United States,NA,13-24,All races/ethnicities,Male,Other,4,Data not available,NA
HIV deaths,2021,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,3,Data not available,NA
HIV deaths,2021,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,6,Data not available,NA
HIV deaths,2021,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,7,Data not available,NA
HIV deaths,2021,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,65,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Other,43,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"1,365",Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,967,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,834",Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"4,827",Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Other,11,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,362,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,395,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Injection drug use,386,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"1,641",Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Other,13,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,171,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,208,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Injection drug use,143,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,967,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Other,44,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,56,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,91,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Injection drug use,63,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,711,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Other,13,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,7,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,5,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Injection drug use,2,Data not available,NA
HIV deaths,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,92,Data not available,NA
HIV deaths,2019,United States,NA,55+,All races/ethnicities,Male,Other,37,Data not available,NA
HIV deaths,2019,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"1,148",Data not available,NA
HIV deaths,2019,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,797,Data not available,NA
HIV deaths,2019,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,574",Data not available,NA
HIV deaths,2019,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"4,001",Data not available,NA
HIV deaths,2019,United States,NA,45-54,All races/ethnicities,Male,Other,10,Data not available,NA
HIV deaths,2019,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,353,Data not available,NA
HIV deaths,2019,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,345,Data not available,NA
HIV deaths,2019,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,349,Data not available,NA
HIV deaths,2019,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"1,594",Data not available,NA
HIV deaths,2019,United States,NA,35-44,All races/ethnicities,Male,Other,9,Data not available,NA
HIV deaths,2019,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,132,Data not available,NA
HIV deaths,2019,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,145,Data not available,NA
HIV deaths,2019,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,105,Data not available,NA
HIV deaths,2019,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,870,Data not available,NA
HIV deaths,2019,United States,NA,25-34,All races/ethnicities,Male,Other,35,Data not available,NA
HIV deaths,2019,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,51,Data not available,NA
HIV deaths,2019,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,104,Data not available,NA
HIV deaths,2019,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,53,Data not available,NA
HIV deaths,2019,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,636,Data not available,NA
HIV deaths,2019,United States,NA,13-24,All races/ethnicities,Male,Other,8,Data not available,NA
HIV deaths,2019,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,4,Data not available,NA
HIV deaths,2019,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,4,Data not available,NA
HIV deaths,2019,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,7,Data not available,NA
HIV deaths,2019,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,83,Data not available,NA
HIV deaths,2018,United States,NA,55+,All races/ethnicities,Male,Other,32,Data not available,NA
HIV deaths,2018,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"1,026",Data not available,NA
HIV deaths,2018,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,770,Data not available,NA
HIV deaths,2018,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,588",Data not available,NA
HIV deaths,2018,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"3,653",Data not available,NA
HIV deaths,2018,United States,NA,45-54,All races/ethnicities,Male,Other,17,Data not available,NA
HIV deaths,2018,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,376,Data not available,NA
HIV deaths,2018,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,452,Data not available,NA
HIV deaths,2018,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,433,Data not available,NA
HIV deaths,2018,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"1,753",Data not available,NA
HIV deaths,2018,United States,NA,35-44,All races/ethnicities,Male,Other,6,Data not available,NA
HIV deaths,2018,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,139,Data not available,NA
HIV deaths,2018,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,151,Data not available,NA
HIV deaths,2018,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,106,Data not available,NA
HIV deaths,2018,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,808,Data not available,NA
HIV deaths,2018,United States,NA,25-34,All races/ethnicities,Male,Other,39,Data not available,NA
HIV deaths,2018,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,57,Data not available,NA
HIV deaths,2018,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,76,Data not available,NA
HIV deaths,2018,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,37,Data not available,NA
HIV deaths,2018,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,601,Data not available,NA
HIV deaths,2018,United States,NA,13-24,All races/ethnicities,Male,Other,15,Data not available,NA
HIV deaths,2018,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,3,Data not available,NA
HIV deaths,2018,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,4,Data not available,NA
HIV deaths,2018,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,5,Data not available,NA
HIV deaths,2018,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,73,Data not available,NA
HIV deaths,2017,United States,NA,55+,All races/ethnicities,Male,Other,31,Data not available,NA
HIV deaths,2017,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,"1,069",Data not available,NA
HIV deaths,2017,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,725,Data not available,NA
HIV deaths,2017,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,558",Data not available,NA
HIV deaths,2017,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"3,511",Data not available,NA
HIV deaths,2017,United States,NA,45-54,All races/ethnicities,Male,Other,21,Data not available,NA
HIV deaths,2017,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,397,Data not available,NA
HIV deaths,2017,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,443,Data not available,NA
HIV deaths,2017,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,447,Data not available,NA
HIV deaths,2017,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"1,953",Data not available,NA
HIV deaths,2017,United States,NA,35-44,All races/ethnicities,Male,Other,11,Data not available,NA
HIV deaths,2017,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,165,Data not available,NA
HIV deaths,2017,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,151,Data not available,NA
HIV deaths,2017,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,102,Data not available,NA
HIV deaths,2017,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,855,Data not available,NA
HIV deaths,2017,United States,NA,25-34,All races/ethnicities,Male,Other,29,Data not available,NA
HIV deaths,2017,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,59,Data not available,NA
HIV deaths,2017,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,59,Data not available,NA
HIV deaths,2017,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,41,Data not available,NA
HIV deaths,2017,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,605,Data not available,NA
HIV deaths,2017,United States,NA,13-24,All races/ethnicities,Male,Other,16,Data not available,NA
